name,study,club,work,game,sleep,hangout,teacher,support,academic,facility,reitaku
ね,2,0,16,20,8,2,1,1,1,1,1
わ,8,0,20,20,7,3,10,10,4,6,10
ビリー,0,2,12,10,6,4,8,8,7,7,7
柴犬,2,0,0,6,8,0,5,5,5,4,5
wwwwwwwwww,0,2,22,15,6,4,5,5,5,5,5
夕張メロン,0,6,0,4,7,0,8,4,3,3,5
アムロ,4,0,0,5,7,1,6,6,6,5,6
ああ,0,0,20,10,8,0,10,10,10,10,10
Fabrizio Romano,0,0,5,3,5,1,7,7,5,5,5
わわわ,1,1,3,3,7,2,9,8,4,7,8
お菓子泥棒,1,0,0,3,6,1,6,6,5,5,7
onigiri,0,5,0,25,7,2,4,6,5,8,6
デンジ,3,0,15,30,4,2,8,10,8,7,9
ルパン,1,0,5,5,6,0,3,3,3,6,4
ぽっぽー,0,0,20,120,5,3,8,7,8,10,9
イケメン修道士,1,2,0,45,6,0,7,7,6,7,8
chocobo,2,0,3,6,4,0,5,5,5,5,5
プクリポ,2,2,0,4,7,2,7,7,7,7,7
ルナ,5,14,0,30,8,0,5,5,7,8,9
アソパソマソ,1,2,12,40,8,0,4,5,5,6,5
たん,0,0,0,20,5,4,5,5,5,5,5
石,3,9,16,30,5,1,6,5,7,8,8
あ,30,2,20,7,6,1,5,5,5,5,9
スポンジ,3,2,16,3,4,2,8,8,7,8,8
ボブにする良い女,1,4,10,3,6,2,7,7,7,6,7
